rank,stock_code,stock_name,sector,price,change_pct,total_score,score_coverage,position_type,risk,return_5d,return_10d,return_20d,ma20,distance_ma20,atr,natr,move_atr,history_source,negative_factor
1,600830,香溢融通,金融行业,9.79,-3.64,83.39,0.85,趋势观察,低,16.270783847980997,20.27027027027024,22.98994974874371,8.5355,14.697440103098813,0.40019796272973035,4.0878239298236,0.8908730772124331,tencent,独立催化与龙虎榜尚未确认；历史公告硬风险及当时板块归属未完整核验
2,600685,中船防务,船舶制造,27.44,3.82,79.94,0.85,趋势观察,低,4.215723509304992,7.2293864790933915,5.053598774885137,26.1515,4.9270596332906536,0.7056853444995996,2.571739593657433,1.4859261287846053,tencent,独立催化与龙虎榜尚未确认；历史公告硬风险及当时板块归属未完整核验
3,600737,中粮糖业,食品行业,15.61,0.64,79.94,0.85,趋势观察,低,-2.6200873362445476,7.211538461538458,15.373244641537331,14.5835,7.03877669969486,0.9884480757914327,6.332146545749088,0.10182097349424554,tencent,独立催化与龙虎榜尚未确认；历史公告硬风险及当时板块归属未完整核验
4,601988,中国银行,金融行业,6.57,0.46,78.56,0.85,趋势观察,低,6.138933764135701,8.595041322314056,13.864818024263448,6.162,6.621226874391439,0.14227058131713338,2.1654578587082707,0.21183307469391927,tencent,独立催化与龙虎榜尚未确认；历史公告硬风险及当时板块归属未完整核验
5,601169,北京银行,金融行业,5.6,1.08,77.45,0.85,趋势观察,低,10.019646365422386,10.019646365422386,11.776447105788424,5.1635,8.453568316064676,0.09980879889076784,1.782299980192283,0.6076600476974027,tencent,独立催化与龙虎榜尚未确认；历史公告硬风险及当时板块归属未完整核验
6,000768,中航西飞,飞机制造,23.7,2.86,77.23,0.85,趋势观察,低,9.116022099447507,13.072519083969446,14.27193828351012,21.575,9.849362688296637,0.6839216504042501,2.885745360355486,0.9926667032674175,tencent,独立催化与龙虎榜尚未确认；历史公告硬风险及当时板块归属未完整核验
7,300133,华策影视,传媒娱乐,7.67,3.65,77.08,0.85,趋势观察,低,10.998552821997109,10.998552821997109,5.068493150684938,7.1865,6.727892576358463,0.371859259893884,4.848230246334864,0.7525733026823404,tencent,独立催化与龙虎榜尚未确认；历史公告硬风险及当时板块归属未完整核验
8,002142,宁波银行,金融行业,34.5,0.29,76.29,0.85,趋势观察,低,1.890135853514474,1.2918379330592922,9.593392630241414,33.3635,3.406417192440836,0.6732386397957664,1.9514163472341053,0.1489675305993176,tencent,独立催化与龙虎榜尚未确认；历史公告硬风险及当时板块归属未完整核验
9,601939,建设银行,金融行业,10.98,0.27,76.0,0.85,趋势观察,低,2.7128157156220745,4.2735042735042805,9.036742800397214,10.596,3.624009060022648,0.22786915071960293,2.0753110265901906,0.13201520120571164,tencent,独立催化与龙虎榜尚未确认；历史公告硬风险及当时板块归属未完整核验
10,002017,东信和平,电子信息,17.06,3.58,75.97,0.85,趋势观察,低,5.373687461395904,17.412250516173433,22.118826055833907,15.101500000000001,12.968910373141718,0.8871790371025287,5.200346055700638,0.6888523873250046,tencent,独立催化与龙虎榜尚未确认；历史公告硬风险及当时板块归属未完整核验
11,601601,中国太保,金融行业,34.21,0.5,75.82,0.85,趋势观察,低,7.680201447906843,12.45890861275476,8.706704798220532,31.381,9.01500908192856,0.8740785817464914,2.555038239539583,0.19546183231456585,tencent,独立催化与龙虎榜尚未确认；历史公告硬风险及当时板块归属未完整核验
